NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Davonte Davis	G	-130	H	ARK	ILL	reb	4.5	4.2	3.79 - 4.85	4.69 - 3.89	44%	80%	6,10,2,6,5,1,1,3,6,3	-120	-110
Davonte Davis	G	-130	H	ARK	ILL	3ptm	1.5	1.3	1.0 - 1.85	1.85 - 1.0	41%	60%	1,1,2,3,3,0,0,4,1,1	'+120	-155
Deandre Gholston	G	'+110	H	MIZ	USU	3ptm	0.5	0.9	1.0 - 0.67	1.0 - 0.86	61%	40%	1,0,0,2,0,0,1,0,4,0	-190	'+140
Deandre Gholston	G	'+110	H	MIZ	USU	ast	1.5	1.8	1.88 - 1.56	1.5 - 1.95	58%	60%	2,1,4,1,2,2,3,3,2,3	-185	'+135
Deandre Gholston	G	'+110	H	MIZ	USU	pts	12.5	10.7	10.92 - 10.0	11.17 - 10.38	33%	60%	17,10,15,20,10,0,7,10,18,5	-105	-130
Deandre Gholston	G	'+110	H	MIZ	USU	reb	3.5	2.3	2.25 - 2.56	2.42 - 2.29	18%	20%	2,2,4,2,2,2,3,2,2,3	'+125	-170
Dereck Lively Ii	C	-265	H	DUKE	ORU	pts	6.5	5.4	5.88 - 3.71	4.13 - 6.53	31%	40%	4,8,13,2,6,13,10,6,6,2	-155	'+115
Dereck Lively Ii	C	-265	H	DUKE	ORU	reb	6.5	5.0	5.32 - 4.0	4.4 - 5.59	22%	20%	4,6,4,6,12,7,4,8,6,3	'+100	-130
Dexter Dennis	G	-150	H	TA&M	PSU	pts	10.5	9.2	9.62 - 8.0	9.0 - 9.29	42%	60%	14,9,11,11,9,4,17,14,13,9	-125	-105
Dexter Dennis	G	-150	H	TA&M	PSU	ast	1.5	1.2	1.12 - 1.56	1.33 - 1.19	36%	40%	2,3,0,0,1,2,2,0,2,0	-105	-125
Dexter Dennis	G	-150	H	TA&M	PSU	3ptm	1.5	1.2	1.29 - 1.0	1.25 - 1.19	36%	40%	3,0,1,1,2,0,3,2,3,0	'+110	-145
Dexter Dennis	G	-150	H	TA&M	PSU	reb	6.5	5.7	6.0 - 4.89	5.58 - 5.76	30%	60%	5,7,5,7,7,4,10,11,2,6	-120	-110
Dmoi Hodge	G	'+110	H	MIZ	USU	3ptm	2.5	2.9	3.29 - 1.78	3.0 - 2.81	64%	80%	3,4,1,5,6,3,3,1,4,4	-120	-110
Dmoi Hodge	G	'+110	H	MIZ	USU	ast	1.5	1.6	2.0 - 0.67	1.42 - 1.76	45%	60%	2,3,0,1,2,2,1,0,1,1	'+110	-145
Dmoi Hodge	G	'+110	H	MIZ	USU	pts	16.5	14.8	16.5 - 10.33	14.5 - 15.0	39%	80%	21,26,14,23,18,16,12,7,14,12	-105	-125
Dmoi Hodge	G	'+110	H	MIZ	USU	reb	4.5	3.8	3.42 - 4.78	4.25 - 3.52	27%	20%	9,4,2,3,2,4,2,3,3,4	'+120	-160
Donta Scott	F	'+135	H	MD	WVU	ast	1.5	1.6	1.81 - 1.33	1.42 - 1.76	52%	100%	4,3,2,2,2,0,1,2,4,1	-135	'+100
Donta Scott	F	'+135	H	MD	WVU	reb	5.5	5.9	6.1 - 5.67	5.42 - 6.24	52%	20%	5,8,5,3,3,5,7,5,10,2	-115	-115
Donta Scott	F	'+135	H	MD	WVU	pts	10.5	11.5	13.52 - 8.0	8.83 - 13.05	48%	40%	10,20,1,9,11,18,5,5,9,10	-110	-120
Donta Scott	F	'+135	H	MD	WVU	3ptm	1.5	1.3	1.57 - 0.92	1.17 - 1.43	39%	40%	2,4,0,1,1,1,1,1,1,1	'+125	-170
Drew Pember	F	'+1100	A	UNCA	UCLA	ast	1.5	2.3	2.48 - 1.71	2.65 - 2.0	71%	80%	2,2,1,2,3,4,3,4,1,2	-190	'+145
Drew Pember	F	'+1100	A	UNCA	UCLA	reb	8.5	9.4	9.78 - 7.71	9.0 - 9.71	53%	60%	8,10,16,3,10,10,9,5,8,8	-110	-120
Drew Pember	F	'+1100	A	UNCA	UCLA	pts	20.5	21.2	22.07 - 17.71	19.47 - 22.88	44%	80%	29,31,29,19,23,22,19,15,23,29	'+100	-130
Drew Pember	F	'+1100	A	UNCA	UCLA	3ptm	1.5	1.6	1.7 - 1.43	1.82 - 1.47	38%	40%	1,4,1,3,1,1,1,1,2,2	-120	-110
Dylan Disu	F	-975	H	TEX	COLG	ast	1.5	1.0	1.04 - 1.0	0.83 - 1.14	33%	20%	2,1,1,1,1,2,1,1,0,2	'+175	-240
Dylan Disu	F	-975	H	TEX	COLG	pts	10.5	8.3	8.44 - 7.75	10.0 - 7.29	30%	60%	18,15,11,9,10,24,2,12,11,8	-130	'+100
Dylan Disu	F	-975	H	TEX	COLG	reb	5.5	4.2	4.28 - 3.75	4.33 - 4.05	18%	60%	6,8,11,5,5,4,3,4,9,2	-125	-105
Elijah Hawkins	G	'+1700	A	HOW	KU	ast	4.5	5.9	6.65 - 4.4	5.15 - 6.47	70%	100%	5,6,6,5,7,5,4,9,6,6	'+110	-150
Elijah Hawkins	G	'+1700	A	HOW	KU	pts	10.5	13.0	12.45 - 14.0	12.92 - 13.0	67%	20%	9,8,10,9,15,11,16,20,16,9	-140	'+105
Elijah Hawkins	G	'+1700	A	HOW	KU	3ptm	1.5	1.7	1.75 - 1.7	1.92 - 1.59	53%	20%	1,0,1,1,2,2,3,5,3,1	'+120	-160
Elijah Hawkins	G	'+1700	A	HOW	KU	reb	3.5	3.7	4.1 - 2.9	3.23 - 4.06	47%	40%	6,6,1,2,0,5,3,3,7,4	-140	'+105
Emmitt Matthews Jr	F	-155	A	WVU	MD	ast	0.5	1.2	1.31 - 1.07	0.92 - 1.41	67%	60%	1,1,0,0,2,2,3,1,1,2	-170	'+125
Emmitt Matthews Jr	F	-155	A	WVU	MD	pts	11.5	10.8	10.5 - 9.64	11.15 - 9.29	40%	60%	10,13,13,13,9,4,17,13,20,2	-115	-115
Emmitt Matthews Jr	F	-155	A	WVU	MD	reb	4.5	4.1	3.75 - 4.07	3.38 - 4.29	37%	40%	4,4,4,6,5,4,5,5,5,4	-150	'+115
Erik Stevenson	G	-155	A	WVU	MD	ast	2.5	2.6	2.89 - 1.86	2.15 - 2.63	50%	40%	2,6,1,4,1,1,0,0,3,3	-125	-105
Erik Stevenson	G	-155	A	WVU	MD	pts	16.5	16.0	16.83 - 13.07	13.54 - 16.32	38%	80%	13,18,23,23,23,27,5,3,8,34	-130	-105
Erik Stevenson	G	-155	A	WVU	MD	3ptm	2.5	2.4	2.78 - 1.57	1.62 - 2.68	38%	60%	1,3,4,2,5,6,1,1,0,6	'+100	-130
